"ID","ProductName","CurrentCategories","CategoryCount","SuggestedPrimary","SuggestedKeep","RemoveThese","Action","NeedsFix"
"18951","20ft 20’ Slate Gray Shiplap 120V Shipping Container Office Mini Split","Container Home Office","1","Shipping Container Offices","Shipping Container Offices | Container Home Office","","Merge office categories","NO"
"18955","Container Home Office","Container Home Office","1","Shipping Container Offices","Shipping Container Offices | Container Home Office","","Merge office categories","NO"
"19009","20ft Customised Container Kiosk – Fully Converted & Ready to Use","20ft Containers","1","20ft Containers","20ft Containers","","OK - size category","NO"
"19013","Clean 20FT used office containers","20ft Containers","1","20ft Containers","20ft Containers","","OK - size category","NO"
"19023","45ft Used Shipping Containers – Heavy-Duty & Affordable","45Ft Containers","1","45Ft Containers","45Ft Containers","","OK - size category","NO"
"19031","New 20ft DNV Offshore-Rated Containers","20ft Containers","1","20ft Containers","20ft Containers","","OK - size category","NO"
"19038","Yellow 20ft Used Container – Dual Side Roll-Up Doors","","0","(assign manually)","","","FIX: uncategorized","YES"
"19045","20ft Used Shipping Container – Matte Black w/ 12’ Side Roll-Up Door","20ft Containers | Home | New Containers","3","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","20ft Containers | Home","Merge new/1-trip","YES"
"19058","Yellow 20ft Used Container – Dual Side Roll-Up Doors","20ft Containers | Home","2","20ft Containers","20ft Containers","Home","OK - size category","YES"
"19067","40FT New Shipping Containers – Ready to Ship!","40ft Containers | Home","2","40ft Containers","40ft Containers","Home","OK - size category","YES"
"19076","NEW 20FT WORKSHOP CONTAINERS – Built for Durability & Performance","20ft Containers | Home","2","20ft Containers","20ft Containers","Home","OK - size category","YES"
"19089","45ft Used Shipping Containers – Heavy-Duty & Affordable","45Ft Containers | Home | Used Shipping Containers","3","Used Shipping Containers","Used Shipping Containers","45Ft Containers | Home","Pick one used-type category","YES"
"19100","USED REFRIGERATED CONTAINERS","40ft Containers | Home | Refrigerated Containers","3","Refrigerated Containers","Refrigerated Containers","40ft Containers | Home","Merge refrigerated duplicates","YES"
"19105","FLAT PACK OFFICES – Compact, Customizable & Ready to Work!","Cabins for Sale | Home | New Containers","3","Container Home Office","Container Home Office | Shipping Container Offices","Cabins for Sale | Home | New Containers","Review cabin vs office","YES"
"19344","Shipping Container Canopy Structure","Modified Shipping Containers | Shipping Container Canopy Structures","2","Modified Shipping Containers","Modified Shipping Containers","Shipping Container Canopy Structures","Merge Modified Containers","YES"
"19345","20-foot Open Side Shipping Container","1-Trip Shipping Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"19346","40-foot Open Side Shipping Container","1-Trip Shipping Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"19347","DIRECT SHIP 1-TRIP 10FT STANDARD RAL1015","1-Trip Shipping Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"19348","1-Trip 10-Foot Shipping Container – Custom Fabricated","1-Trip Shipping Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"19349","10-foot Shipping Container WorkshopGuard Shack","Modified Shipping Containers | Shipping Container Offices","2","Shipping Container Offices","Shipping Container Offices | Container Home Office","Modified Shipping Containers","Merge office categories","YES"
"19350","20-foot High Cube Shipping Container","1-Trip Shipping Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"19351","Grey 20-foot Shipping Container","1-Trip Shipping Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"19352","DIRECT SHIP 1-TRIP 20FT STANDARD DRK GREY RAL7015","1-Trip Shipping Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"19353","Grey 40-foot High Cube Shipping Container 1-Trip","1-Trip Shipping Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"19354","1-TRIP 40-foot Shipping Container Office and Storage Combo RAL 1015","1-Trip Shipping Containers | Modified Shipping Containers | Shipping Container Offices","3","Shipping Container Offices","Shipping Container Offices | Container Home Office","1-Trip Shipping Containers | Modified Shipping Containers","Merge office categories","YES"
"19355","1-Trip 40-foot Shipping Container Office and Storage Combo RAL 7015","1-Trip Shipping Containers | Modified Shipping Containers | Shipping Container Offices","3","Shipping Container Offices","Shipping Container Offices | Container Home Office","1-Trip Shipping Containers | Modified Shipping Containers","Merge office categories","YES"
"19356","1-Trip Shipping 40-foot with ManEntry Door RAL 1015","1-Trip Shipping Containers | Modified Shipping Containers","2","Modified Shipping Containers","Modified Shipping Containers","1-Trip Shipping Containers","Merge Modified Containers","YES"
"19357","1-Trip 40’ High Cube Modified Shipping Container – Roll-Up Door &amp; Entry Door","1-Trip Shipping Containers | Modified Shipping Containers","2","Modified Shipping Containers","Modified Shipping Containers","1-Trip Shipping Containers","Merge Modified Containers","YES"
"19358","20-foot Shipping Container Office with Bathroom","Modified Shipping Containers | Shipping Container Offices","2","Shipping Container Offices","Shipping Container Offices | Container Home Office","Modified Shipping Containers","Merge office categories","YES"
"19359","20-foot Scale House","Modified Shipping Containers | Shipping Container Offices","2","Shipping Container Offices","Shipping Container Offices | Container Home Office","Modified Shipping Containers","Merge office categories","YES"
"19360","20-foot Shipping Container Office 1-Trip","1-Trip Shipping Containers | Modified Shipping Containers | Shipping Container Offices","3","Shipping Container Offices","Shipping Container Offices | Container Home Office","1-Trip Shipping Containers | Modified Shipping Containers","Merge office categories","YES"
"19361","20-foot Shipping Container with Roll-Up Door and Electrical Package","Modified Shipping Containers","1","Modified Shipping Containers","Modified Shipping Containers","","Merge Modified Containers","NO"
"19362","DIRECT SHIP 1-TRIP 20FT STANDARD RAL1015","1-Trip Shipping Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"19363","30-foot Ground Level Office","Modified Shipping Containers | Shipping Container Offices","2","Shipping Container Offices","Shipping Container Offices | Container Home Office","Modified Shipping Containers","Merge office categories","YES"
"19364","40-foot Shipping Container Grow House 1-Trip","1-Trip Shipping Containers | Modified Shipping Containers | Shipping Container Homes & Cabins","3","Cabins for Sale","Cabins for Sale","1-Trip Shipping Containers | Modified Shipping Containers | Shipping Container Homes & Cabins","OK","YES"
"19365","40-foot Double Door Shipping Container, Beige RAL 1015","1-Trip Shipping Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"19366","USED 40FT HIGH CUBE ""BUDGET/CLEARANCE"" WIND &amp; WATER TIGHT","Wind & Watertight-Cargo Worthy","1","Wind & Watertight-Cargo Worthy","Wind & Watertight-Cargo Worthy","","Pick one used-type category","NO"
"19367","8 inch Whirly Bird with Corrugated Shipping Container Roof Base","Parts | Parts & Accessories","2","Container Accessories","Container Accessories | Parts & Accessories","Parts","Merge Parts + Parts & Accessories","YES"
"19368","Direct Ship Cheap Used 40-foot HC Shipping Containers","Wind & Watertight-Cargo Worthy","1","Wind & Watertight-Cargo Worthy","Wind & Watertight-Cargo Worthy","","Pick one used-type category","NO"
"19369","DIRECT SHIP 40FT HIGH CUBE DRK GREY RAL7015","1-Trip Shipping Containers","1","1-Trip Shipping Containers","1-Trip Shipping Containers | New Containers","","Merge new/1-trip","NO"
"19370","Used 40-foot High Cube Shipping Container W&amp;WT/CW","Used Shipping Containers | Wind & Watertight-Cargo Worthy","2","Wind & Watertight-Cargo Worthy","Wind & Watertight-Cargo Worthy","Used Shipping Containers","Pick one used-type category","YES"
"19371","Shipping Container Easy Open Door Handle","Parts | Parts & Accessories","2","Container Accessories","Container Accessories | Parts & Accessories","Parts","Merge Parts + Parts & Accessories","YES"
